Species_TTOL	HIP	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.531	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.365	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.65	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.822	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.769	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	1.286	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.583	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	1.25	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	1.35	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	1.253	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	1.236	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	1.418	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.427	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.669	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.785	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.376	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.829	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	2.036	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	1.037	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	1.8	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	2.108	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	2.104	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	1.893	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.824	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.971	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.89	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	1.99	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	1.529	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.401	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.537	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.808	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.919	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	2.508	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.597	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	2.041	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.759	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	1.985	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.477	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	1.461	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	1.358	0.987	0	0	0	1	0	0	0	0	0.987	0
