Species_TTOL	CEREB	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.599	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.562	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.626	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.861	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.871	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	1.386	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.715	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	1.362	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	1.455	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	1.322	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	1.34	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	1.384	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.711	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.765	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.904	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.597	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	2.064	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	2.264	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	1.097	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	2.081	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	2.292	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	2.196	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	2.246	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.756	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.977	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.918	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	2.174	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	1.627	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.511	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.613	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.91	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	2.083	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	2.794	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.722	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	2.296	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.924	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	2.167	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.881	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	1.498	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	1.342	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	1.217	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	1.369	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	0.94	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	1.083	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.771	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.631	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	1.272	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	1.396	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	2.241	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	2.493	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	3.172778	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	1.933993	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	1.959995	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	3.194653	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	3.075255	3.079181	0	0	0	0	1	0	0	0	0	3.079181
Burramys_parvus	2.017451	1.770852	0	0	0	0	1	0	0	0	0	1.770852
Cercartetus_nanus	1.85187	1.278754	0	0	0	0	1	0	0	0	0	1.278754
Dactylopsila_trivirgata	2.920123	2.643453	0	0	0	0	1	0	0	0	0	2.643453
Dasycercus_cristicauda	2.329601	2	0	0	0	0	1	0	0	0	0	2
